newsId,title,summary,link
6113622,巴隆：資金正撤離大型科技股 金融、醫療保健股看俏,科技股最近暫停了先前的強勁表現，其他板塊則開始嶄露頭角，這正是所有股市多頭希望看到的訊號。,https://m.cnyes.com/new/id/6113622
6113610,奧特曼稱OpenAI有意收購Google Chrome,OpenAI 執行長奧特曼 (Sam Altman) 周四(透露了公司對未來的雄心計畫，其中包括可能投入數兆美元興建資料中心，以及有意收購 Google Chrome。,https://m.cnyes.com/new/id/6113610
6113521,〈熱門股〉錼創-KY COC良率提升Q3再啟動能 周漲13%脫離底部區,MicroLED 廠錼創 - KY(6854-TW) 日前因為新款 COC（Chip on Carrier）驗證問題，導致營收下滑，不過隨著 6 月良率提升，下半年營運可望走強，激勵本周股價走強。15 日收盤價 161.5 元，周漲幅約 13,https://m.cnyes.com/new/id/6113521
6113512,〈熱門股〉宇隆搶搭機器人應用大商機 股價周漲約2成創近半年高,〈熱門股〉宇隆搶搭機器人應用大商機 股價漲約 2 成創近半年高,https://m.cnyes.com/new/id/6113512
6113484,鴻海法說會、台積電Q2配息5元、台泥火損慘虧110億元 本周大事回顧,鴻海周四 (14 日) 召開法說會，預期第三季 AI 伺服器營收年增 1.7 倍、機櫃出貨季增 3 倍；台積電周二 (12 日) 召開董事會，第二季將配發每股 5 元現金股利；台泥旗下三元能源電芯廠發生火災，影響獲利 110 億元。,https://m.cnyes.com/new/id/6113484
6113473,〈熱門股〉森崴能源認列代墊款損失 上半年暴虧44億 周跌16%,森崴能源 (6806-TW) 子公司富崴能源於台電離岸風電二期工程中，墊款近 200 億元，雖目前追加工程款已與台電進入爭議協商程序，不過森崴先行認列損失，上半年虧損 44.37 億元，拖累本周股價跌逾 1 成。 ,https://m.cnyes.com/new/id/6113473
6113628,傳Meta擬6個月內第4度重組AI業務,《The Information》引述三位知情人士報導，Meta Platforms 計劃在六個月內第四度重組其人工智慧業務。,https://m.cnyes.com/new/id/6113628
6113623,美國最貴國運股誕生！Palantir年漲145% 5年翻漲近20倍,Palantir 本月 8 日股價觸及 187.99 美元，市值突破 4430 億美元，超越洛克希德 · 馬丁、雷神和諾斯羅普三大軍工巨頭的總和，其高達 2455 倍的本益比反映市場對其未來的信心，投資者將其視為美國國運的延伸。,https://m.cnyes.com/new/id/6113623
6113636,川普：習近平說過只要我在任一天 就不會對台灣採取行動,,https://m.cnyes.com/new/id/6113636
6113472,美股重點新聞摘要2025年8月16日,美股重點新聞摘要 2025 年 8 月 16 日,https://m.cnyes.com/new/id/6113472
6113633,美俄元首召開聯合記者會 雙普均稱會議富有成效 但尚未達和平協議,美俄元首峰會 (普普會) 於台灣時間 16 日凌晨 3 點在美國阿拉斯加州州安克拉治 (Anchorage) 登場，雙方討論包括俄烏戰爭在內的議題。美國總統川普與俄羅斯總統普丁隨後召開聯合記者會，並罕見地未回答記者提問,https://m.cnyes.com/new/id/6113633
6113598,川普威脅晶片關稅上看300% 分析師：台積電能否豁免仍待釐清,《Marketwatch》報導指出，美國總統川普週五 (15 日) 表示，未來兩週內將宣布對半導體產品加徵關稅，稅率可能高達 200% 至 300%，但若企業承諾在美國設廠，則有機會獲得豁免，不過，台積電能否豁免仍待釐清,https://m.cnyes.com/new/id/6113598
6113625,日本4-6月實質GDP年化增長率為1％,日本政府 8 月 15 日發布的 4-6 月國內生產毛額 (GDP) 快報值顯示，扣除物價變動影響後的實質季節調整值較上季增長 0.3％，按年率換算，增長 1.0％。隨著進行追溯修正，GDP 已連續 5 季實現季增長。,https://m.cnyes.com/new/id/6113625
6113522,德銀預測：「普普會」難有突破 僅能為後續鋪路,德銀分析認為，俄美兩國在即將舉行的高層會晤中達成停火共識的可能性不大，主要由於雙方在核心立場上存在「巨大鴻溝」，可能要到下半年的談判才會出現突破。川普認為普丁會達成協議，而失敗的風險為「25%」。,https://m.cnyes.com/new/id/6113522
6113632,一對一會談改為三對三 川普與普丁正式展開會晤,川普與普丁周五舉行 2021 年 6 月以來美俄領袖首次面對面會談。根據雙方最新消息，川普與普丁原計劃的一對一會談改為三對三會談。川普與國務卿魯比歐和中東特使魏科夫一同出席。,https://m.cnyes.com/new/id/6113632
6113596,〈貴金屬盤後〉屏息等待雙普會 黃金周線收黑,,https://m.cnyes.com/new/id/6113596
6113611,巴菲特替華爾街打了一劑強心針 道瓊創盤中新高收盤差點破紀錄,道瓊工業指數周五 (15 日) 在早盤觸及歷史新高後收盤幾乎持平，延續了近期市場樂觀情緒，而推動力之一正是傳奇投資人「股神」巴菲特 (Warren Buffett)。,https://m.cnyes.com/new/id/6113611
6113618,阿拉斯加「雙普會」是一場高風險博弈？,2025 年的「雙普會」意義非凡，其中充滿著各懷心思的高風險博弈。川普希望與普京的面對面會晤，促成他未能通過電話達成的目標：結束俄烏戰爭。,https://m.cnyes.com/new/id/6113618
6113513,〈能源盤後〉「普普會」在即 原油收跌近1美元,原油期貨價格周五 (15 日) 收跌近 1 美元，因交易員等待美國總統川普與俄羅斯領導人普丁之間的會談，這可能導致俄羅斯因烏克蘭戰爭而放鬆制裁。,https://m.cnyes.com/new/id/6113513
6113471,〈紐約匯市〉美元下跌 數據續支撐9月降息預期,美元周五 (15 日) 下跌，結束了一周繁重的數據發布，市場對聯準會 (Fed)9 月降息的預期依舊穩固，同時投資人關注美國總統川普與俄羅斯總統普丁(Vladimir Putin) 在阿拉斯加的會談。,https://m.cnyes.com/new/id/6113471
